attendance|competition|date|time|opponent|home|home_score|away_score
4394|USL|2016-03-26|7:30pm|Charleston|FALSE|1|0
3655|USL|2016-04-03|3:00pm|Bethlehem|FALSE|1|2
14658|USL|2016-04-09|7:00pm|Charlotte|TRUE|2|1
20497|USL|2016-04-16|7:00pm|Louisville|TRUE|2|3
|USL|2016-04-24|4:00pm|Toronto|FALSE|1|2
787|USL|2016-05-04|7:30pm|Orlando|FALSE|1|3
2204|USL|2016-05-07|7:00pm|Harrisburg|FALSE|1|1
23375|USL|2016-05-14|4:00pm|Pittsburgh|TRUE|1|0
8668|US Open Cup|2016-05-18|7:00pm|Indy|TRUE|2|1
16097|USL|2016-05-28|7:00pm|Harrisburg|TRUE|2|0
|US Open Cup|2016-06-01|7:30pm|Tampa Bay|FALSE|1|0
11278|USL|2016-06-04|7:00pm|Richmond|TRUE|1|1
14267|USL|2016-06-11|7:00pm|Montreal|TRUE|2|1
19112|USL|2016-06-18|7:00pm|Toronto|TRUE|2|1
10062|USL|2016-06-25|7:30pm|Louisville|FALSE|0|0
17380|USL|2016-07-02|6:00pm|Bethlehem|TRUE|1|0
3023|USL|2016-07-06|7:05pm|Rochester|FALSE|2|1
|USL|2016-07-09|8:30pm|St. Louis|FALSE|1|2
16127|USL|2016-07-20|7:00pm|New York|TRUE|1|2
20151|USL|2016-07-23|4:00pm|Louisville|TRUE|2|0
19229|USL|2016-07-30|7:00pm|Charleston|TRUE|1|1
78|USL|2016-08-03|2:00pm|Montreal|FALSE|0|2
3093|USL|2016-08-13|7:00pm|Richmond|FALSE|1|1
14157|USL|2016-08-24|7:00pm|Rochester|TRUE|1|1
2414|USL|2016-08-28|5:30pm|New York|FALSE|2|0
1035|USL|2016-08-31|7:00pm|Charlotte|FALSE|3|2
17415|USL|2016-09-05|4:30pm|St. Louis|TRUE|2|1
1074|USL|2016-09-11|3:00pm|Wilmington|FALSE|0|2
1062|USL|2016-09-14|7:00pm|Pittsburgh|FALSE|0|0
24376|USL|2016-09-17|7:00pm|Orlando|TRUE|1|0
3157|USL|2016-09-24|7:00pm|Pittsburgh|FALSE|0|1
30187|USL Playoffs|2016-10-02|4:00pm|Charleston|TRUE|1|2
2247|USL|2017-03-25|7:00pm|Charleston|FALSE|2|1
2586|USL|2017-04-01|5:00pm|Pittsbugh|FALSE|0|1
3005|USL|2017-04-09|4:00pm|Bethlehem|FALSE|2|0
23144|USL|2017-04-15|7:00pm|St. Louis|TRUE|4|0
15244|USL|2017-04-19|7:00pm|Tampa Bay|TRUE|1|1
20437|USL|2017-04-22|7:00pm|Louisville|TRUE|1|1
3086|USL|2017-04-29|5:00pm|Bethlehem|FALSE|1|0
4008|USL|2017-05-06|7:00pm|Richmond|FALSE|1|1
19310|USL|2017-05-13|5:00pm|Orlando|TRUE|0|2
12790|US Open Cup|2017-05-17|7:00pm|Cleveland|TRUE|1|0
18411|USL|2017-05-20|7:00pm|Bethlehem|TRUE|2|1
18214|USL|2017-05-27|5:00pm|Toronto|TRUE|1|0
6519|US Open Cup|2017-05-31|7:00pm|Louisville|TRUE|1|0
2158|USL|2017-06-03|6:00pm|Rochester|FALSE|1|0
21115|USL|2017-06-10|7:00pm|Charlotte|TRUE|1|1
30160|US Open Cup|2017-06-14|7:00pm|Columbus|TRUE|1|0
21074|USL|2017-06-17|7:00pm|Charleston|TRUE|2|2
20125|USL|2017-06-24|7:00pm|St. Louis|TRUE|2|0
32287|US Open Cup|2017-06-28|8:00pm|Chicago|TRUE|1|0
980|USL|2017-07-01|8:30pm|Orlando|FALSE|1|1
6269|USL|2017-07-06|8:00pm|Tampa Bay|FALSE|2|0
21769|USL|2017-07-09|6:00pm|Richmond|TRUE|2|0
11632|USL|2017-07-15|7:30pm|Louisville|FALSE|2|3
18334|USL|2017-07-22|7:00pm|Harrisburg|TRUE|3|0
23548|USL|2017-07-29|7:00pm|Rochester|TRUE|2|3
10415|US Open Cup|2017-08-02|7:30pm|Miami|FALSE|0|1
25308|USL|2017-08-05|7:00pm|Orlando|TRUE|2|2
13812|USL|2017-08-12|7:30pm|Louisville|FALSE|5|0
33250|US Open Cup|2017-08-15|8:00pm|New York - MLS|TRUE|2|3
730|USL|2017-08-19|4:00pm|New York|FALSE|4|0
20058|USL|2017-08-23|7:30pm|Ottawa|TRUE|3|1
22643|USL|2017-09-02|4:00pm|Pittsburgh|TRUE|1|1
1820|USL|2017-09-12|6:30pm|Harrisburg|FALSE|1|1
30417|USL|2017-09-16|7:00pm|New York|TRUE|4|2
4376|USL|2017-09-23|8:30pm|St. Louis|FALSE|2|2
1577|USL|2017-09-29|7:00pm|Charlotte|FALSE|0|1
5445|USL|2017-10-08|2:00pm|Ottawa|FALSE|4|0
1119|USL|2017-10-14|7:30pm|Toronto|FALSE|3|4
6104|USL Playoffs|2017-10-21|7:30pm|Tampa Bay|FALSE|3|0
